,Amount,PaymentId
1,2999,cmcm61isk0b11pc55yzoqo1pq
5,5896,cmcm2ch1t088epc41tcqtoxzq
6,49,cmcl9pj240d4ipctxjkd1tfbm
7,49,cmcm2tmn10938pc55eh45ithw
8,49,cmcm599gv0ac6pc41vkmnoy2r
9,49,cmcl89cne0conpcvn7mitanvf
10,49,cmcld5tbu0cwvpcw6px8ap5ki
11,49,cmcm3cadw094hpc411ghadvl2
12,49,cmcl5zp1o0c6npcuom84gboqr
13,49,cmclcrx0u0cv7pcw6j8yr0mvc
14,49,cmclditr10dpvpctxpsgb59aq
15,49,cmcm7mjq10awapc42ct96ex4g
16,49,cmclgqm2o0dtgpcvb5bujs12y
17,49,cmclzy37t06plpc55o18fpe24
18,5996,cmcm2b4iy08t8pc2znyookkp7
19,2499,cmcm2c7n8098wpc30auw0kqsp
